Number,Gender,NameSet,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,StateFull,ZipCode,Country,CountryFull,EmailAddress,Username,Password,BrowserUserAgent,TelephoneNumber,TelephoneCountryCode,MothersMaiden,Birthday,Age,TropicalZodiac,CCType,CCNumber,CVV2,CCExpires,NationalID,UPS,WesternUnionMTCN,MoneyGramMTCN,Color,Occupation,Company,Vehicle,Domain,BloodType,Pounds,Kilograms,FeetInches,Centimeters,GUID,Latitude,Longitude
37,female,Brazil,Mrs.,Bruna,S,Correia,"Praça Carlos Batalha 454",Salvador,BA,Bahia,41940-860,BR,Brazil,BrunaSouzaCorreia@teleworm.us,Amentem,ga7Faedah4ai,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36","(71) 4116-7090",55,Azevedo,10/16/2000,15,Libra,Visa,4539902095402359,243,11/2020,220.965.345-26,"1Z E54 299 52 5175 827 8",7518879645,29979240,Purple,Musician,"Ruehl No. 925","1998 Lotus Elise",MingEquity.com.br,B-,90.4,41.1,"5' 7""",171,58dcc04f-ea63-4175-ada6-920d748830ca,-12.772522,-38.408542
38,male,Brazil,Mr.,Erick,M,Barros,"Travessa Cesare Crivellati 615","São Paulo",SP,"São Paulo",03989-015,BR,Brazil,ErickMeloBarros@teleworm.us,Squished07,jooG2tah7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36","(11) 7518-4887",55,Martins,7/10/2007,8,Cancer,Visa,4485286645004889,426,2/2020,714.775.631-21,"1Z 267 408 35 5267 356 5",6702896179,62486325,Blue,"Benefits clerk","Tower Records","2007 Audi A6",LeadDistributor.com.br,B+,55.4,25.2,"4' 5""",134,e7c61ef7-3710-451f-955a-ce2c4ce609ec,-23.695122,-46.621732
39,female,Brazil,Mrs.,Eduarda,R,Souza,"Rua Dona Luzia 332","Rio de Janeiro",RJ,"Rio de Janeiro",20551-440,BR,Brazil,EduardaRochaSouza@dayrep.com,Soults08,phu4ooh9Ochae,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36","(21) 2470-3322",55,Cavalcanti,7/16/2008,7,Cancer,MasterCard,5106326581758514,854,2/2019,928.951.578-39,"1Z 3V6 8A1 85 5709 102 4",5576211512,51258058,Purple,"Technical support specialist","Envirotecture Design Service","2008 Lexus LX",CorpContracts.com.br,A+,62.3,28.3,"4' 1""",124,547bc79a-8874-4df0-83e6-ea518e92a173,-22.88602,-43.35532
40,male,Brazil,Mr.,Vitor,M,Cunha,"Rua Embaixador Regis de Oliveira 207","Rio de Janeiro",RJ,"Rio de Janeiro",20031-030,BR,Brazil,VitorMeloCunha@rhyta.com,Vold2006,elah2Iewai,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36","(21) 5421-4040",55,Rodrigues,8/27/2006,9,Virgo,MasterCard,5543540212209314,809,4/2020,218.297.468-71,"1Z 094 795 95 0386 440 4",0540369730,33934926,Blue,"School librarian","Super Duper","2010 Kia Rio",FremontInsuranceAgent.com.br,A+,60.7,27.6,"4' 6""",138,497d0089-530c-42e9-988c-40d51be49d6a,-22.856464,-43.327544
41,male,Brazil,Mr.,Vitór,S,Rodrigues,"Rua Margarida Ferreira 138",Barbacena,MG,"Minas Gerais",36202-740,BR,Brazil,VitorSousaRodrigues@fleckens.hu,Famort,oD1aeS1qu,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36","(32) 4366-8766",55,Rodrigues,4/26/2009,6,Taurus,MasterCard,5324826864343096,874,3/2018,738.834.591-43,"1Z 956 8E3 02 0067 660 1",1124082473,49604883,Green,"Welding machine tender","Highland Appliance","2003 Jaguar XJ",StrictlyChairs.com.br,O+,48.4,22.0,"4' 0""",122,27788ae5-bf86-436b-b361-20038de79448,-21.172727,-43.816327
42,female,Brazil,Ms.,Luiza,M,Barbosa,"Rua Frei Gabriel Zimmer 1896",Blumenau,SC,"Santa Catarina",89035-510,BR,Brazil,LuizaMeloBarbosa@einrot.com,Knownfass,doh4yaNg5uph,"Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0; Trident/5.0)","(47) 4729-4425",55,Pinto,12/7/2007,8,Sagittarius,MasterCard,5435939565024398,645,9/2019,625.823.426-70,"1Z F09 086 17 5915 238 2",0955883041,86986499,Brown,"Enrichment education instructor","Audio Visions","1995 Oldsmobile Bravada",FinancialAct.com.br,A+,43.8,19.9,"4' 0""",123,05b5e33c-e20f-4485-860b-fc40b2f18322,-26.851983,-49.089329
43,female,Brazil,Ms.,Brenda,S,Silva,"Rua Pedro Vicente Mário Gallo 118","São Paulo",SP,"São Paulo",03060-027,BR,Brazil,BrendaSousaSilva@einrot.com,Drery2003,Aidae9quie,"Mozilla/5.0 (Windows NT 10.0; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0","(11) 9336-4242",55,Santos,6/10/2003,12,Gemini,MasterCard,5377058003950138,792,1/2019,873.175.250-06,"1Z W69 318 01 6431 598 3",7915936307,48575836,Purple,"Elevator installer","Gold Leaf Garden Management","2015 Porsche Cayman",PodPark.com.br,B+,142.3,64.7,"4' 6""",137,8af5a6ce-40dd-4a93-851d-2b97c4b81ad6,-23.558491,-46.577725
44,male,Brazil,Mr.,André,A,Carvalho,"Rua Rio Jaicós 973",Recife,PE,Pernambuco,51340-370,BR,Brazil,AndreAlvesCarvalho@fleckens.hu,Thopity,ja4Chah3oh,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10.11; rv:43.0) Gecko/20100101 Firefox/43.0","(81) 5581-2734",55,Ribeiro,7/21/2002,13,Cancer,Visa,4556940577943308,563,8/2020,626.694.483-99,"1Z E20 734 52 3248 478 6",8149009100,14517864,Blue,"Greenhouse manager","Lawnscape Garden Maintenance","1999 Toyota Land Cruiser",ResumeBinder.com.br,A+,85.1,38.7,"4' 9""",145,ca579ce1-8162-4052-a585-0a2c054ecffe,-8.094729,-35.04103
45,female,Brazil,Ms.,Bianca,P,Araujo,"Rua JA 199",Contagem,MG,"Minas Gerais",32370-470,BR,Brazil,BiancaPereiraAraujo@teleworm.us,Dinge2005,reiheeP8,"Mozilla/5.0 (Windows NT 6.3; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0","(31) 7982-2806",55,Carvalho,7/16/2005,10,Cancer,MasterCard,5187671778141988,616,5/2019,162.501.243-81,"1Z 746 434 04 3021 598 7",8246015086,04294493,Purple,"Aircraft engineer","Reliable Guidance","2006 Chrysler Pacifica",PopMetro.com.br,A+,78.5,35.7,"4' 10""",148,56948385-8d36-43c5-8007-460fdf32d3c2,-19.851796,-44.065302
46,male,Brazil,Mr.,Rafael,A,Fernandes,"Rua João Cirino 1943",Campinas,SP,"São Paulo",13067-180,BR,Brazil,RafaelAzevedoFernandes@armyspy.com,Hunisgung,Chaeyu3ohSh,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36","(19) 8612-9493",55,Souza,9/16/2004,11,Virgo,MasterCard,5494750762672220,647,7/2018,282.720.032-52,"1Z 8F1 721 41 2613 763 9",2519999183,81708351,Brown,Zookeeper,"Independent Wealth Management","1995 Rolls-Royce Silver Spirit",EmploymentBrief.com.br,A+,97.5,44.3,"4' 9""",144,a3415148-2d16-4861-8452-1e4f545908cf,-22.872036,-47.092857
47,male,Brazil,Mr.,Mateus,C,Sousa,"Rua Sete 545","Duque de Caxias",RJ,"Rio de Janeiro",25255-136,BR,Brazil,MateusCostaSousa@rhyta.com,Annes1998,Eichae6iegh,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36","(21) 4498-2848",55,Araujo,7/11/1998,17,Cancer,Visa,4532088296185204,756,12/2021,640.539.345-32,"1Z 425 563 16 4950 133 8",0842039501,91911856,Orange,"Lead abatement worker","The Lawn Guru","2010 Hyundai ix20",OpenProtection.com.br,A-,167.2,76.0,"5' 9""",176,16626bf6-3db8-4bcb-8b7a-95e752366252,-22.623423,-43.269967
48,male,Brazil,Mr.,Miguel,R,Dias,"Travessa São Luiz 103","João Pessoa",PB,Paraíba,58085-155,BR,Brazil,MiguelRodriguesDias@superrito.com,Newo2007,beivia6Sh,"Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko","(83) 4807-6750",55,Alves,12/30/2007,8,Capricorn,Visa,4716581334080369,885,4/2017,886.316.955-13,"1Z 311 873 48 3089 509 3",1108816349,37249407,Blue,"Public finance economist","The Flying Hippo ","2009 Dodge Grand Caravan",RaftingSales.com.br,O+,55.9,25.4,"4' 2""",126,6f34205e-2e1d-447e-bf16-40a27cf0f89f,-7.244131,-34.840642
49,male,Brazil,Mr.,Vinícius,S,Souza,"Rua dos Gerentes 1649",Itaquaquecetuba,SP,"São Paulo",08580-040,BR,Brazil,ViniciusSilvaSouza@jourrapide.com,Stran2007,sochae1Hae,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:38.0) Gecko/20100101 Firefox/38.0","(11) 7560-7462",55,Souza,10/21/2007,8,Libra,Visa,4929675217982627,381,9/2021,821.070.216-51,"1Z 677 W42 41 7862 965 2",0188515717,27011249,Blue,"Airbrush artist","Red Baron Electronics","2005 Seat Ibiza",LampExchange.com.br,O+,51.5,23.4,"4' 4""",133,43a480a4-f5f3-4269-bad3-5326a7df6a97,-23.43957,-46.295133
50,female,Brazil,Mrs.,Marina,P,Ribeiro,"Travessa Sergipe 237","Rio Grande",RS,"Rio Grande do Sul",96202-290,BR,Brazil,MarinaPintoRibeiro@rhyta.com,Quould,Eemei6Iw4v,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36","(53) 7279-4459",55,Gomes,11/26/2002,13,Sagittarius,Visa,4716084291816610,499,11/2019,606.188.118-50,"1Z 734 F72 97 0533 741 0",9137812661,96422848,Green,"Material moving occupation","Magik Gray","2009 Hyundai Elantra",InvestmentSupply.com.br,A+,132.9,60.4,"5' 5""",164,4fc3701e-7b74-4d64-bcdb-2fafe31df45d,-32.169279,-52.346844
51,male,Brazil,Mr.,Marcos,S,Carvalho,"Rua Paulo Setúbal 661","Praia Grande",SP,"São Paulo",11713-470,BR,Brazil,MarcosSouzaCarvalho@cuvox.de,Hicithore,shae8OhWaiph,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0","(13) 3924-7159",55,Fernandes,6/15/1999,16,Gemini,Visa,4532799869417275,514,7/2017,321.306.798-97,"1Z 486 529 38 5641 196 1",4700932390,91389878,Blue,"Addictions nurse","Grade A Investment","2008 Audi TT",FeedbackWelcome.com.br,A+,183.9,83.6,"5' 9""",175,1433e8d6-b39d-4a26-9ecb-9dd81237019e,-23.917659,-46.394551
52,female,Brazil,Mrs.,Yasmin,C,Ribeiro,"Rua Estrela Guia 1156","Belo Horizonte",MG,"Minas Gerais",31870-200,BR,Brazil,YasminCastroRibeiro@armyspy.com,Excleciall,aiM0mahx0H,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0","(31) 9033-7189",55,Santos,10/30/1998,17,Scorpio,Visa,4485381412431298,797,9/2020,880.808.284-90,"1Z 599 120 95 8355 933 8",6140544288,27381859,Blue,"Technical sales manager","Record World","2003 Alfa Romeo Kamal",PaymentJournal.com.br,B+,130.7,59.4,"5' 7""",169,e681dd3f-d806-47e3-a3c0-b19a8f5efc5c,-19.967323,-43.983149
53,male,Brazil,Mr.,Danilo,R,Carvalho,"Praça Lópes Ribeiro 705","Rio de Janeiro",RJ,"Rio de Janeiro",21032-120,BR,Brazil,DaniloRibeiroCarvalho@teleworm.us,Smandertne,ai0aaZol,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:44.0) Gecko/20100101 Firefox/44.0","(21) 2134-7267",55,Alves,6/5/2007,8,Gemini,Visa,4916725274060836,422,10/2017,660.383.415-44,"1Z 3F8 137 29 3080 100 9",2978620966,24990927,White,"Camp counselor","Cellophane Square","1998 Daewoo Prince",SoloShower.com.br,B+,48.4,22.0,"4' 7""",139,a04eb7be-6449-4bb6-9e95-e617a8519f95,-22.911793,-43.379217
54,female,Brazil,Mrs.,Leonor,S,Araujo,"Rua Juracy Magalhães 1510",Salvador,BA,Bahia,40310-420,BR,Brazil,LeonorSantosAraujo@fleckens.hu,Theare,duuteB0f,"Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0","(71) 2160-4361",55,Correia,8/4/2005,10,Leo,MasterCard,5106659164898954,578,6/2019,191.388.124-52,"1Z 916 V20 11 5926 457 9",4309663535,09196036,Blue,"Paper goods operator",Stratagee,"1999 Aston Martin Vantage",WirelessFinland.com.br,B+,110.0,50.0,"4' 6""",137,c25d8634-ff28-42c4-b965-ef413b3d40f0,-12.915398,-38.398396
55,male,Brazil,Mr.,Enzo,S,Cunha,"Rua Olívia Francisca Bruno 830","Barra Mansa",RJ,"Rio de Janeiro",27340-470,BR,Brazil,EnzoSilvaCunha@jourrapide.com,Ponot2003,ieLoqu7Vo,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36","(24) 8139-2242",55,Gomes,6/20/2003,12,Gemini,Visa,4556290287933524,083,2/2018,708.595.828-68,"1Z 774 895 21 0576 020 9",6961565837,40491556,Black,"Insulation worker",Strongbod,"2002 Lexus Minority Report",TutorTag.com.br,O+,123.6,56.2,"5' 3""",160,d3059aae-0690-4fdb-88e9-b58ab9c59ee0,-22.491944,-44.276111
56,female,Brazil,Mrs.,Sarah,S,Gomes,"Rua José Miguel Castello 543","São Paulo",SP,"São Paulo",05761-300,BR,Brazil,SarahSantosGomes@einrot.com,Thouthe,giajohRee2t,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36","(11) 3732-9114",55,Barbosa,9/4/2001,14,Virgo,Visa,4485054946940106,123,12/2018,767.024.041-58,"1Z 307 2V7 20 3829 403 4",8787607038,76488762,Silver,Sampler,"Landskip Yard Service","1999 GMC Sonoma",CreditShares.com.br,A+,142.3,64.7,"5' 1""",155,b678ba64-02d4-45ce-aeaa-ccaebd5a9b5c,-23.601703,-46.604962
57,female,Brazil,Mrs.,Tânia,F,Cardoso,"Rua Alberto Miranda 1534","São Luís",MA,Maranhão,65042-610,BR,Brazil,TaniaFernandesCardoso@superrito.com,Colened,ohch0aec8Ee,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36","(98) 8592-2421",55,Gomes,8/30/2009,6,Virgo,MasterCard,5577801131317565,517,10/2020,210.665.429-45,"1Z 6F5 462 72 0496 983 8",9944885456,86070227,Red,"Gas plant operator",Judy's,"2007 Honda Accord",VoiceScar.com.br,O+,52.6,23.9,"3' 6""",106,b995c71b-7eab-47ef-a905-616bf13d9cbf,-2.712941,-44.349641
58,female,Brazil,Mrs.,Lavinia,S,Rodrigues,"Rua Lourenço Jampaulo 779",Campinas,SP,"São Paulo",13070-097,BR,Brazil,LaviniaSilvaRodrigues@teleworm.us,Pitions2001,Gu7ohph2ee,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9","(19) 4892-6162",55,Melo,1/8/2001,15,Capricorn,MasterCard,5295429710236658,385,12/2021,909.435.528-00,"1Z 78V 807 89 5277 270 2",8676601718,42068783,Yellow,Tilesetter,"Golden Joy","2001 Peugeot 607",AddictionReview.com.br,A+,121.0,55.0,"5' 3""",160,4d150d0d-a56b-4df5-bed6-644908e0bf9d,-22.815164,-47.0341
59,female,Brazil,Ms.,Isabelle,R,Melo,"Rua Esmirna 1522",Joinville,SC,"Santa Catarina",89231-740,BR,Brazil,IsabelleRochaMelo@superrito.com,Saill2003,Ush8yoh8ong,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/601.3.9 (KHTML, like Gecko) Version/9.0.2 Safari/601.3.9","(47) 8645-3408",55,Cunha,1/17/2003,13,Capricorn,Visa,4716585696292090,888,10/2019,992.930.619-61,"1Z V16 638 87 5135 467 2",2546284277,71049171,Yellow,"Milling and planing machine tender","David Weis","2004 Nissan Avenir",GamblingJourney.com.br,O+,131.8,59.9,"4' 11""",149,c871cbc7-6b21-4ad2-9ba3-166e6992b13d,-26.255329,-48.926999
60,female,Brazil,Ms.,Emilly,G,Dias,"Avenida Voluntário Vitoriano Borges 962",Pindamonhangaba,SP,"São Paulo",12410-130,BR,Brazil,EmillyGomesDias@gustr.com,Clichis,Le6aov6zai,"Mozilla/5.0 (X11; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0","(12) 3285-7270",55,Sousa,9/11/2003,12,Virgo,Visa,4929042492192614,911,7/2018,432.840.521-78,"1Z 45V 788 50 3240 964 0",4948697676,28383724,Green,"Lead abatement worker","Stop and Shop","2010 Mitsubishi Lancer",DealerSpiff.com.br,O+,131.1,59.6,"5' 1""",155,9c997b94-fc2a-41f0-b450-419e7da06a8c,-22.832856,-45.481204
61,male,Brazil,Mr.,Thiago,A,Silva,"Rua Ribeirinho 1354",Toledo,PR,Paraná,85909-197,BR,Brazil,ThiagoAraujoSilva@jourrapide.com,Lifets,eiz2Rahc,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36","(45) 7991-3772",55,Melo,2/22/1998,17,Pisces,MasterCard,5283140537383599,831,1/2021,332.969.861-62,"1Z A68 E53 07 7376 760 5",9519172655,87552927,Green,"Financial analyst",SoundTrack,"2005 Pontiac Bonneville",MarathonDancing.com.br,O+,159.9,72.7,"5' 11""",181,57567046-1ffd-4903-9ba2-3eb679b037db,-24.825563,-53.82158
62,female,Brazil,Ms.,Melissa,G,Souza,"Via de Pedestre Forte Tabatinga 249","São Paulo",SP,"São Paulo",02237-100,BR,Brazil,MelissaGomesSouza@teleworm.us,Hadet2004,Leaciezui5R,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36","(11) 8361-2354",55,Alves,8/1/2004,11,Leo,Visa,4716486432849055,012,1/2019,996.061.587-13,"1Z 39F 9W5 79 8141 419 8",1103798435,58739449,Blue,"Poultry trimmer","Laura Ashley","1998 Fiat Bravo",BetaRoom.com.br,A-,106.5,48.4,"5' 2""",158,7e20125b-4ac0-406b-bce8-c804a51488d9,-23.528022,-46.713082
63,male,Brazil,Mr.,Otávio,B,Cardoso,"Rua Manoel Lourenço dos Santos 195","São José do Rio Preto",SP,"São Paulo",15035-080,BR,Brazil,OtavioBarbosaCardoso@einrot.com,Womell,phei4Caeth,"Mozilla/5.0 (Windows NT 10.0; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0","(17) 9929-3244",55,Araujo,3/26/1998,17,Aries,Visa,4532343668866109,047,11/2018,597.950.709-40,"1Z 8W4 8Y7 83 2194 703 6",8446679101,33718766,Green,"Industrial equipment technician",Libera,"1998 Mazda 626",RebateDate.com.br,O+,137.3,62.4,"5' 7""",170,a1304709-63da-4b38-9f8f-cdc8028d7bda,-20.716941,-49.280915
64,male,Brazil,Mr.,Alex,S,Silva,"Praça Rei 1239",Embu,SP,"São Paulo",06805-180,BR,Brazil,AlexSouzaSilva@superrito.com,Sames1999,Oovereth4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.97 Safari/537.36","(11) 3842-5206",55,Rodrigues,8/6/1999,16,Leo,MasterCard,5420769152629417,648,4/2018,121.681.794-41,"1Z 853 03F 42 4383 490 0",0831759232,81983495,Blue,"Payroll and timekeeping clerk","Handy Andy Home Improvement Center","1998 Renault Spider",DontAttack.com.br,O+,128.3,58.3,"5' 8""",172,cd0a8c41-7ec8-49a4-84d9-a9ebfc6f5665,-23.726634,-46.841863
65,female,Brazil,Ms.,Lavinia,C,Fernandes,"Rua Pêra-Mirim 463","São Paulo",SP,"São Paulo",08340-500,BR,Brazil,LaviniaCostaFernandes@fleckens.hu,Youled,iP4oh3oh,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36","(11) 3963-7154",55,Martins,4/20/2004,11,Taurus,MasterCard,5470748447731211,840,8/2019,986.340.996-01,"1Z 4E2 65A 17 5807 846 1",9391682157,97921250,Purple,"Foreign language interpreter","Audio Visions","2005 Lamborghini Diablo",GeoConcierge.com.br,A+,59.4,27.0,"4' 8""",143,bcdce9ad-07fe-416e-8d3f-db1062695383,-23.66213,-46.69206
66,female,Brazil,Mrs.,Giovanna,A,Dias,"Rua das Betúnias 1356","Presidente Prudente",SP,"São Paulo",19065-450,BR,Brazil,GiovannaAzevedoDias@teleworm.us,Sandsous,ahzoo1ieCi8y,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36","(18) 3894-4036",55,Barbosa,12/5/2010,5,Sagittarius,MasterCard,5324958524063408,376,2/2019,545.311.129-11,"1Z 434 48A 77 6526 754 3",2571862586,02842601,Red,"Coin, vending, and amusement machine servicer","Blue Boar Cafeterias","2012 Audi S8",ReadyProduce.com.br,A+,31.7,14.4,"3' 6""",107,6f85e96c-8a63-4167-ac2c-1e120f9a90e6,-21.879875,-51.275088
67,female,Brazil,Mrs.,Lara,D,Pereira,"Rua Antúrios 26","São Paulo",SP,"São Paulo",08391-110,BR,Brazil,LaraDiasPereira@fleckens.hu,Werepher01,ohcuu4quaF,"Mozilla/5.0 (iPad; CPU OS 9_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13C75 Safari/601.1","(11) 9318-8740",55,Araujo,1/28/2001,15,Aquarius,MasterCard,5513368041127648,377,1/2021,250.901.779-96,"1Z 05F F58 50 2707 769 4",9020309560,28975617,Green,"Piano tuner","Golden Joy","1996 Zastava 65",DishReady.com.br,A+,135.7,61.7,"5' 1""",154,515931c2-4397-4ec5-ac67-0f90fbc74916,-23.704631,-46.651806
68,female,Brazil,Ms.,Amanda,C,Azevedo,"Avenida Dique do Meio 148","São Vicente",SP,"São Paulo",11330-700,BR,Brazil,AmandaCorreiaAzevedo@rhyta.com,Hisilat99,ezei4Cie,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.106 Safari/537.36","(11) 7767-5570",55,Rodrigues,10/6/1999,16,Libra,Visa,4532274019100221,910,1/2017,658.396.786-35,"1Z 515 582 24 8392 314 1",8615849632,93857773,Green,"Prosthetics technician",Wag's,"2001 GMC Sonoma",RewardsPays.com.br,A+,124.7,56.7,"5' 0""",152,b17fee97-6a17-4a42-9f14-c16f841624c7,-24.047647,-46.427983
69,female,Brazil,Mrs.,Beatriz,G,Dias,"Rua Clara Branco de Oliveira 1748","Francisco Morato",SP,"São Paulo",07942-070,BR,Brazil,BeatrizGomesDias@gustr.com,Huragnional,Ceeg0ree,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36","(11) 6474-9518",55,Rodrigues,8/1/2004,11,Leo,Visa,4532289955450166,803,3/2021,612.824.084-45,"1Z 833 217 86 3452 563 6",2551606576,91465528,Purple,"Immigration and Naturalization Service (INS) agent","Sounds of Soul Records & Tapes","2002 Porsche Boxster",InstantRevival.com.br,O+,107.8,49.0,"4' 6""",136,f651fc09-68a7-4f25-a065-eb5a5d7f8de2,-23.191305,-46.794027
70,male,Brazil,Mr.,Luís,B,Barbosa,"Rua Francisco Duarte 1323","São Paulo",SP,"São Paulo",02054-060,BR,Brazil,LuisBarrosBarbosa@cuvox.de,Coultle,Cagho4phu,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36","(11) 9053-2600",55,Cunha,1/23/2000,16,Aquarius,MasterCard,5395183447834967,826,2/2019,149.002.234-17,"1Z 733 3F4 69 7768 369 8",8234608103,26874599,Blue,"Operational meteorologist","Noodle Kidoodle","2005 BMW FW 27",PreciousMaterial.com.br,B+,133.5,60.7,"6' 0""",184,8d12622f-43bc-499b-a347-a41cfe7e67c6,-23.713893,-46.67475
71,male,Brazil,Mr.,Kauê,S,Silva,"Rua Dantas Barreto 1627",Arcoverde,PE,Pernambuco,56506-620,BR,Brazil,KaueSousaSilva@jourrapide.com,Youle2004,eicudezi5Th,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:43.0) Gecko/20100101 Firefox/43.0","(87) 7823-8685",55,Correia,9/7/2004,11,Virgo,MasterCard,5230711589992794,890,8/2020,285.405.627-23,"1Z 478 44V 94 8427 128 9",7058644741,77017801,Blue,"Private investigator","Garden Master","1994 Nissan 300 ZX",BroadReport.com.br,O+,121.4,55.2,"4' 8""",141,5e17e280-2161-4d3b-85ea-92bb7b85b04b,-8.312358,-37.029274
72,male,Brazil,Mr.,Kauan,C,Rocha,"Vila Gigi 1699",Belém,PA,Pará,66025-021,BR,Brazil,KauanCorreiaRocha@superrito.com,Reflud,ooTiqu1cohqu,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36","(91) 7906-8814",55,Ferreira,7/16/2004,11,Cancer,MasterCard,5203669601266527,804,7/2019,474.398.335-54,"1Z F28 047 66 4482 271 0",9171894863,15032110,Black,Courier,Jacobs,"2015 Lincoln MKS",AmateurExhibit.com.br,B+,59.2,26.9,"4' 11""",149,c17ffe1a-5b70-4e6b-8fb0-54dd01850225,-1.408093,-48.322302
73,female,Brazil,Ms.,Beatrice,S,Dias,"Rua Butadieno 843",Contagem,MG,"Minas Gerais",32072-150,BR,Brazil,BeatriceSousaDias@rhyta.com,Girese,Ouliv5ie,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4","(31) 7555-6216",55,Araujo,11/19/2001,14,Scorpio,Visa,4485376736654914,734,8/2019,455.974.748-20,"1Z 58V F79 11 7343 112 9",5730514852,37668852,Brown,"Aquaculture farmer","Mission G","1994 Dodge Viper",GovernmentAlert.com.br,B+,127.4,57.9,"5' 0""",153,f9f86a08-7f8c-48e2-9e58-89d33e15bafb,-19.812176,-44.07532
